DATE,CC,HU,QQ,TX,TN,TG,RR,PP,SD,SS
1979-01-01,2,83,52,2.3000000000000003,-7.5,-4.1000000000000005,0.4,1019.0,9,7.0
1979-01-02,6,76,27,1.6,-7.5,-2.6,0.0,1025.3,8,1.7000000000000002
1979-01-03,5,86,13,1.3,-7.2,-2.8000000000000003,0.0,1020.5,4,0.0
1979-01-04,8,68,13,-0.30000000000000004,-6.5,-2.6,0.0,1008.4000000000001,2,0.0
1979-01-05,6,73,29,5.6000000000000005,-1.4000000000000001,-0.8,0.0,1022.5,1,2.0
1979-01-06,5,84,39,8.3,-6.6000000000000005,-0.5,0.7000000000000001,1027.8,1,3.8000000000000003
1979-01-07,8,93,13,8.5,-5.300000000000001,1.5,5.2,1025.2,0,0.0
1979-01-08,8,95,15,5.800000000000001,5.300000000000001,6.9,0.8,1018.7,0,0.1
1979-01-09,4,86,50,5.2,1.6,3.7,7.2,1011.7,0,5.800000000000001
1979-01-10,7,87,30,4.9,1.4000000000000001,3.3000000000000003,2.1,987.0,0,1.9000000000000001
1979-01-11,1,78,55,2.9000000000000004,0.30000000000000004,2.6,2.3000000000000003,989.6,0,6.800000000000001
1979-01-12,3,91,54,2.0,-2.0,0.4,0.0,1006.5,1,6.4
1979-01-13,1,86,57,4.3,-7.1000000000000005,-2.6,0.0,1023.5,1,7.0
1979-01-14,7,88,14,6.7,-5.6000000000000005,-0.6000000000000001,0.8,1027.0,1,0.0
1979-01-15,,99,15,5.9,1.0,3.8000000000000003,0.1,1029.9,0,0.0
1979-01-16,8,93,15,2.6,4.1000000000000005,5.0,3.9000000000000004,1031.0,0,0.0
1979-01-17,8,93,15,1.9000000000000001,1.6,2.1,2.5,1022.2,0,0.0
1979-01-18,8,82,15,3.0,-0.2,0.8,0.2,1018.6,0,0.0
1979-01-19,8,85,16,7.2,-1.4000000000000001,0.8,5.2,1009.1,0,0.0
1979-01-20,7,93,16,3.5,-1.0,3.1,0.0,1009.2,0,0.0
1979-01-21,,98,16,1.5,-3.5,0.0,0.1,1021.7,0,0.0
1979-01-22,8,96,16,0.30000000000000004,-1.8,-0.2,6.2,1016.8000000000001,0,0.0
1979-01-23,7,94,17,2.9000000000000004,-2.3000000000000003,-1.0,1.0,1009.7,6,0.0
1979-01-24,3,88,54,5.6000000000000005,-5.6000000000000005,-1.4000000000000001,1.4000000000000001,1010.1,6,4.800000000000001
1979-01-25,8,90,17,2.8000000000000003,-4.5,0.6000000000000001,5.300000000000001,996.6,1,0.0
1979-01-26,5,89,42,1.6,-1.1,0.8,0.1,992.8000000000001,1,2.6
1979-01-27,4,90,39,4.5,-5.2,-1.8,0.0,997.7,0,2.1
1979-01-28,7,89,47,4.800000000000001,-4.4,0.0,7.5,994.7,0,3.1
1979-01-29,4,95,31,4.0,-1.0,1.9000000000000001,4.4,989.2,0,1.0
1979-01-30,5,91,30,7.300000000000001,-2.6,0.7000000000000001,0.1,1000.7,0,0.8
1979-01-31,5,91,38,9.1,-3.1,2.1,2.4000000000000004,1013.9000000000001,0,1.6
1979-02-01,8,96,19,4.0,1.2000000000000002,5.2,10.100000000000001,994.9000000000001,0,0.0
1979-02-02,5,82,37,5.9,1.5,2.8000000000000003,0.0,998.9000000000001,0,1.4000000000000001
1979-02-03,1,82,85,4.5,-4.1000000000000005,0.9,0.0,1007.7,0,8.700000000000001
1979-02-04,8,89,23,6.0,-1.2000000000000002,1.6,0.0,1000.6,0,0.1
1979-02-05,6,87,33,4.0,1.4000000000000001,3.7,0.0,1002.5,0,0.8
1979-02-06,4,90,78,6.800000000000001,-1.6,1.2000000000000002,9.0,1010.2,0,6.800000000000001
1979-02-07,,99,21,3.7,-0.2,3.3000000000000003,0.4,994.5,0,0.0
1979-02-08,6,84,45,4.0,0.30000000000000004,2.0,0.0,1007.4000000000001,0,1.9000000000000001
1979-02-09,8,78,22,3.5,0.8,2.4000000000000004,0.0,1003.1,0,0.0
1979-02-10,8,74,23,2.9000000000000004,2.1,2.8000000000000003,0.0,997.3000000000001,0,0.0
1979-02-11,8,83,23,5.4,1.9000000000000001,2.4000000000000004,4.4,991.7,0,0.0
1979-02-12,8,98,27,8.1,0.30000000000000004,2.8000000000000003,6.7,984.3000000000001,1,0.1
1979-02-13,8,97,24,0.2,0.30000000000000004,4.2,9.1,981.3000000000001,0,0.0
1979-02-14,6,86,54,-0.8,-0.7000000000000001,-0.2,0.0,993.8000000000001,1,2.4000000000000004
1979-02-15,7,84,25,0.6000000000000001,-3.7,-2.2,0.1,1008.3000000000001,0,0.0
1979-02-16,8,88,25,-0.8,-3.1,-1.2000000000000002,0.0,1022.7,1,0.0
1979-02-17,8,95,26,0.7000000000000001,-1.5,-1.2000000000000002,0.0,1021.8000000000001,0,0.0
1979-02-18,8,96,26,1.9000000000000001,-1.8,-0.6000000000000001,0.0,1019.7,0,0.0
1979-02-19,8,96,27,2.8000000000000003,-0.9,0.5,0.1,1025.3,0,0.0
1979-02-20,,93,27,3.6,0.30000000000000004,1.6,0.0,1030.1000000000001,0,0.0
1979-02-21,8,91,28,7.4,0.6000000000000001,2.1,0.6000000000000001,1026.4,0,0.0
1979-02-22,5,89,63,8.700000000000001,1.2000000000000002,4.3,1.8,1027.9,0,2.6
1979-02-23,4,78,104,5.5,0.2,4.4,0.0,1034.3,0,7.4
1979-02-24,4,78,58,6.9,0.30000000000000004,2.9000000000000004,0.0,1041.3,0,1.9000000000000001
1979-02-25,3,80,112,6.7,-3.4000000000000004,1.8,0.0,1042.7,0,8.1
1979-02-26,,87,82,8.9,-3.4000000000000004,1.6,0.0,1035.9,0,4.2
1979-02-27,6,77,85,6.1000000000000005,-1.5,3.7,0.8,1020.9000000000001,0,4.4
1979-02-28,6,80,64,9.700000000000001,2.7,4.4,0.9,1000.4000000000001,0,2.1
1979-03-01,4,76,115,11.9,-2.7,3.5,0.2,1011.0,0,6.4
1979-03-02,8,86,35,12.600000000000001,1.6,6.800000000000001,0.0,1016.4000000000001,0,0.0
1979-03-03,8,88,40,10.5,9.4,11.0,5.300000000000001,1018.5,0,0.1
1979-03-04,4,75,140,11.0,4.3,7.4,0.0,1024.1000000000001,0,8.700000000000001
1979-03-05,4,77,121,9.0,-0.1,5.4,0.0,1027.3,0,6.4
1979-03-06,6,79,95,9.4,3.6,6.300000000000001,2.8000000000000003,1009.5,0,3.7
1979-03-07,2,76,133,10.5,1.9000000000000001,5.6000000000000005,0.0,1008.0,0,7.4
1979-03-08,4,82,113,11.0,0.7000000000000001,5.6000000000000005,8.0,1015.9000000000001,0,5.1000000000000005
1979-03-09,6,88,72,11.5,4.5,7.800000000000001,3.1,999.4000000000001,0,1.6
1979-03-10,7,93,40,13.8,0.0,5.800000000000001,3.8000000000000003,1007.4000000000001,0,0.0
1979-03-11,7,89,48,10.700000000000001,2.7,8.200000000000001,0.0,1001.1,0,0.2
1979-03-12,5,71,115,4.9,3.7,7.2,1.1,1008.8000000000001,0,4.800000000000001
1979-03-13,8,92,42,3.8000000000000003,4.4,4.6000000000000005,20.3,1008.0,0,0.0
1979-03-14,8,88,43,2.5,1.8,2.8000000000000003,0.5,1005.8000000000001,0,0.0
1979-03-15,8,89,43,1.3,1.2000000000000002,1.8,3.1,1000.2,0,0.0
1979-03-16,8,94,44,6.9,0.1,0.7000000000000001,11.8,991.6,0,0.0
1979-03-17,5,87,116,9.1,0.1,3.5,0.30000000000000004,994.6,1,4.3
1979-03-18,6,88,119,6.1000000000000005,1.1,5.1000000000000005,0.7000000000000001,999.7,0,4.4
1979-03-19,7,86,54,11.0,2.4000000000000004,4.2,1.0,1002.3000000000001,0,0.2
1979-03-20,6,85,116,8.5,3.0,7.0,2.4000000000000004,995.5,0,4.0
1979-03-21,4,81,149,9.600000000000001,2.9000000000000004,5.7,3.3000000000000003,994.9000000000001,0,6.7
1979-03-22,4,77,143,9.200000000000001,0.5,5.0,0.1,1005.2,0,6.0
1979-03-23,1,66,194,11.5,-3.0,3.1,0.0,1016.6,0,10.700000000000001
1979-03-24,5,64,158,15.3,-1.6,5.0,9.1,1013.3000000000001,0,7.0
1979-03-25,7,84,70,8.0,5.0,10.200000000000001,0.2,990.4000000000001,0,0.7000000000000001
